GameOver TIMESTEP: 159, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 40, Average Reward: 7.571428571428571, Standard Deviation Of Score: 17.914004706537575, Flaps: 160, Average Flaps: 57.142857142857146, Standard Deviation Of Flaps: 44.07708152369277
GameOver TIMESTEP: 160, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 7.2727272727272725, Standard Deviation Of Score: 17.55557880297423, Flaps: 161, Average Flaps: 61.86363636363637, Standard Deviation Of Flaps: 48.192130114352466
GameOver TIMESTEP: 161, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 7.0, Standard Deviation Of Score: 17.2172815104097, Flaps: 162, Average Flaps: 66.21739130434783, Standard Deviation Of Flaps: 51.36650619238278
GameOver TIMESTEP: 162, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.75, Standard Deviation Of Score: 16.897361727007365, Flaps: 163, Average Flaps: 70.25, Standard Deviation Of Flaps: 53.87582172613859
GameOver TIMESTEP: 163, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.52, Standard Deviation Of Score: 16.594264069249956, Flaps: 164, Average Flaps: 74.0, Standard Deviation Of Flaps: 55.89275444992848
GameOver TIMESTEP: 164, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.3076923076923075, Standard Deviation Of Score: 16.3066037372528, Flaps: 165, Average Flaps: 77.5, Standard Deviation Of Flaps: 57.53343509513537
GameOver TIMESTEP: 193, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 29, Average Reward: 7.148148148148148, Standard Deviation Of Score: 16.565702417061722, Flaps: 194, Average Flaps: 81.81481481481481, Standard Deviation Of Flaps: 60.59338494456123
GameOver TIMESTEP: 194, STATE: observe, EPSILON: 0.4, ACTION: 5, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.928571428571429, Standard Deviation Of Score: 16.3071600650682, Flaps: 195, Average Flaps: 85.85714285714286, Standard Deviation Of Flaps: 63.100098644769105
GameOver TIMESTEP: 195, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.724137931034483, Standard Deviation Of Score: 16.06000934367431, Flaps: 196, Average Flaps: 89.65517241379311, Standard Deviation Of Flaps: 65.17841607098164
GameOver TIMESTEP: 196, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.533333333333333, Standard Deviation Of Score: 15.823470612423248, Flaps: 197, Average Flaps: 93.23333333333333, Standard Deviation Of Flaps: 66.91720423196281
